symbol,yahoo_symbol,company_name,isin,isin_valid,segment,exchange,listing_series,current_series,surveillance_band,surveillance_remarks,listing_date,face_value,paidup_value,market_lot,etf_underlying,previous_symbol,symbol_change_date,previous_company_name,name_change_date,nifty_industry,in_nifty50,in_nifty_next50,in_nifty100,in_nifty200,in_nifty500,data_sources,pipeline_run_at
20MICRONS,20MICRONS.NS,20 Microns Limited,INE144J01027,True,EQUITY,NSE,EQ,EQ,20,-,2008-10-06,5.0,5.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
21STCENMGM,21STCENMGM.NS,21st Century Management Services Limited,INE253B01015,True,EQUITY,NSE,EQ,EQ,2,-,1995-05-03,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
360ONE,360ONE.NS,360 ONE WAM LIMITED,INE466L01038,True,EQUITY,NSE,EQ,EQ,No Band,-,2019-09-19,1.0,1.0,1.0,,IIFLWAM,2023-01-23,Iifl Wealth Management Limited,2023-01-23,Financial Services,False,False,False,True,True,EQUITY_L;sec_list;symbolchange;namechange;nifty200;nifty500,2026-07-06T15:21:16+00:00
3BBLACKBIO,3BBLACKBIO.NS,3B Blackbio Dx Limited,INE994E01018,True,EQUITY,NSE,EQ,EQ,20,-,2026-04-20,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
3IINFOLTD,3IINFOLTD.NS,3i Infotech Limited,INE748C01038,True,EQUITY,NSE,EQ,EQ,20,-,2021-10-22,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
3MINDIA,3MINDIA.NS,3M India Limited,INE470A01017,True,EQUITY,NSE,EQ,EQ,20,-,2004-08-13,10.0,10.0,1.0,,BIRLA3M,2004-06-15,Birla 3M Ltd.,2004-06-15,Diversified,False,False,False,False,True,EQUITY_L;sec_list;symbolchange;namechange;nifty500,2026-07-06T15:21:16+00:00
3PLAND,3PLAND.NS,3P Land Holdings Limited,INE105C01023,True,EQUITY,NSE,EQ,EQ,20,-,1995-07-19,2.0,2.0,1.0,,PDUMJEIND,2018-05-04,Pudumjee Industries Limited,2018-05-04,,False,False,False,False,False,EQUITY_L;sec_list;symbolchange;namechange,2026-07-06T15:21:16+00:00
5PAISA,5PAISA.NS,5Paisa Capital Limited,INE618L01018,True,EQUITY,NSE,EQ,EQ,20,-,2017-11-16,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
63MOONS,63MOONS.NS,63 moons technologies limited,INE111B01023,True,EQUITY,NSE,EQ,EQ,20,-,2005-06-20,2.0,2.0,1.0,,FINANTECH,2017-01-19,Financial Technologies (India) Limited,2017-01-19,,False,False,False,False,False,EQUITY_L;sec_list;symbolchange;namechange,2026-07-06T15:21:16+00:00
A2ZINFRA,A2ZINFRA.NS,A2Z Infra Engineering Limited,INE619I01012,True,EQUITY,NSE,EQ,EQ,10,-,2010-12-23,10.0,10.0,1.0,,A2ZMES,2014-12-31,A2Z Maintenance & Engineering Services Limited,2014-12-31,,False,False,False,False,False,EQUITY_L;sec_list;symbolchange;namechange,2026-07-06T15:21:16+00:00
AAATECH,AAATECH.NS,AAA Technologies Limited,INE0D0U01013,True,EQUITY,NSE,EQ,EQ,20,-,2022-11-28,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
AADHARHFC,AADHARHFC.NS,Aadhar Housing Finance Limited,INE883F01010,True,EQUITY,NSE,EQ,EQ,20,-,2024-05-15,10.0,10.0,1.0,,,,,,Financial Services,False,False,False,False,True,EQUITY_L;sec_list;nifty500,2026-07-06T15:21:16+00:00
AAKASH,AAKASH.NS,Aakash Exploration Services Limited,INE087Z01024,True,EQUITY,NSE,EQ,EQ,20,-,2020-09-29,1.0,1.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
AAREYDRUGS,AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited,INE198H01019,True,EQUITY,NSE,BE,BE,2,-,2021-08-06,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
AARNAV,AARNAV.NS,Aarnav Fashions Limited,INE750R01016,True,EQUITY,NSE,EQ,EQ,20,-,2026-02-25,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
AARON,AARON.NS,Aaron Industries Limited,INE721Z01010,True,EQUITY,NSE,EQ,EQ,20,-,2020-11-06,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
AARTECH,AARTECH.NS,Aartech Solonics Limited,INE01C001026,True,EQUITY,NSE,EQ,EQ,20,-,2023-07-10,5.0,5.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
AARTIDRUGS,AARTIDRUGS.NS,Aarti Drugs Limited,INE767A01016,True,EQUITY,NSE,EQ,EQ,20,-,2003-09-19,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
AARTIIND,AARTIIND.NS,Aarti Industries Limited,INE769A01020,True,EQUITY,NSE,EQ,EQ,20,-,1995-02-08,5.0,5.0,1.0,,,,,,Chemicals,False,False,False,False,True,EQUITY_L;sec_list;nifty500,2026-07-06T15:21:16+00:00
AARTIPHARM,AARTIPHARM.NS,Aarti Pharmalabs Limited,INE0LRU01027,True,EQUITY,NSE,EQ,EQ,20,-,2023-01-30,5.0,5.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
AARTISURF,AARTISURF.NS,Aarti Surfactants Limited,INE09EO01013,True,EQUITY,NSE,EQ,EQ,20,-,2020-07-14,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
AARVI,AARVI.NS,Aarvi Encon Limited,INE754X01016,True,EQUITY,NSE,EQ,EQ,20,-,2020-06-24,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
AASTHA,AASTHA.NS,Aastha Spintex Limited,INE2FMX01012,True,EQUITY,NSE,BE,BE,5,-,2026-07-06,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
AAVAS,AAVAS.NS,Aavas Financiers Limited,INE216P01012,True,EQUITY,NSE,EQ,EQ,20,-,2018-10-08,10.0,10.0,1.0,,,,,,Financial Services,False,False,False,False,True,EQUITY_L;sec_list;nifty500,2026-07-06T15:21:16+00:00
ABAN,ABAN.NS,Aban Offshore Limited,INE421A01028,True,EQUITY,NSE,BE,BE,5,-,1995-03-29,2.0,2.0,1.0,,ABANLOYD,2006-08-18,Aban Loyd Chiles Offshore Ltd.,2006-08-18,,False,False,False,False,False,EQUITY_L;sec_list;symbolchange;namechange,2026-07-06T15:21:16+00:00
ABANSENT,ABANSENT.NS,Abans Enterprises Limited,INE365O01028,True,EQUITY,NSE,BE,BE,5,-,2026-04-20,2.0,2.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
ABB,ABB.NS,ABB India Limited,INE117A01022,True,EQUITY,NSE,EQ,EQ,No Band,-,1995-02-08,2.0,2.0,1.0,,,,ABB Limited,2013-07-03,Capital Goods,False,True,True,True,True,EQUITY_L;sec_list;namechange;nifty_next50;nifty100;nifty200;nifty500,2026-07-06T15:21:16+00:00
ABBOTINDIA,ABBOTINDIA.NS,Abbott India Limited,INE358A01014,True,EQUITY,NSE,EQ,EQ,20,-,2010-01-08,10.0,10.0,1.0,,,,,,Healthcare,False,False,False,False,True,EQUITY_L;sec_list;nifty500,2026-07-06T15:21:16+00:00
ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Limited,INE674K01013,True,EQUITY,NSE,EQ,EQ,No Band,-,2017-09-01,10.0,10.0,1.0,,,,,,Financial Services,False,False,False,True,True,EQUITY_L;sec_list;nifty200;nifty500,2026-07-06T15:21:16+00:00
ABCOTS,ABCOTS.NS,A B Cotspin India Limited,INE08PH01015,True,EQUITY,NSE,EQ,EQ,20,-,2025-09-24,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
ABDL,ABDL.NS,Allied Blenders and Distillers Limited,INE552Z01027,True,EQUITY,NSE,EQ,EQ,10,-,2024-07-02,2.0,2.0,1.0,,,,,,Fast Moving Consumer Goods,False,False,False,False,True,EQUITY_L;sec_list;nifty500,2026-07-06T15:21:16+00:00
ABFRL,ABFRL.NS,Aditya Birla Fashion and Retail Limited,INE647O01011,True,EQUITY,NSE,EQ,EQ,20,-,2013-07-17,10.0,10.0,1.0,,PFRL,2016-01-29,Pantaloons Fashion & Retail Limited,2016-01-29,Consumer Services,False,False,False,False,True,EQUITY_L;sec_list;symbolchange;namechange;nifty500,2026-07-06T15:21:16+00:00
ABGSEC,ABGSEC.NS,BIRLASLAMC - ABGSEC,INF209KC1134,True,ETF,NSE,,EQ,20,-,2024-07-10,100.0,,1.0,Aditya Birla Sun Life CRISIL Broad Based Gilt ETF,,,,,,False,False,False,False,False,eq_etfseclist;sec_list,2026-07-06T15:21:16+00:00
ABINFRA,ABINFRA.NS,A B Infrabuild Limited,INE00YB01025,True,EQUITY,NSE,EQ,EQ,20,-,2024-11-08,1.0,1.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
ABLBL,ABLBL.NS,Aditya Birla Lifestyle Brands Limited,INE14LE01019,True,EQUITY,NSE,EQ,EQ,20,-,2025-06-23,10.0,10.0,1.0,,,,,,Consumer Services,False,False,False,False,True,EQUITY_L;sec_list;nifty500,2026-07-06T15:21:16+00:00
ABMINTLLTD,ABMINTLLTD.NS,ABM International Limited,INE251C01025,True,EQUITY,NSE,EQ,EQ,10,-,2021-09-09,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
